,Unnamed: 0,# of trees,feature,%,std,median,mean,depth,node #,# samples (mean),# samples (median)
55,53,147,Depth,29.4,1409.2375533,-13.5,-644.568027211,3,14,39.3536585366,17.0
56,58,112,Depth,22.4,434.167586564,-414.5,-433.504464286,3,15,44.5797101449,33.0
57,59,69,Nitrate,13.8,3.90436485756,7.85596609116,7.60910642925,3,15,44.5797101449,33.0
58,56,165,Temperature,33.0,5.97580428,5.76717529297,8.84249655984,3,15,44.5797101449,33.0
59,57,154,Salinity,30.8,14.3386360845,33.4238967896,24.6512574964,3,15,44.5797101449,33.0
60,60,178,Depth,35.6,1192.4523049,-111.5,-549.126404494,4,16,70.8833333333,64.0
61,61,178,Temperature,35.6,4.5855458675,15.6546569824,14.7521388708,4,16,70.8833333333,64.0
62,62,84,Salinity,16.8,4.98798888358,34.0713939667,32.8461467084,4,16,70.8833333333,64.0
63,63,60,Nitrate,12.0,4.34029255046,6.95538330078,7.11753209705,4,16,70.8833333333,64.0
64,64,197,Salinity,39.4,14.6896233907,32.7788009644,23.8004938648,4,17,39.1034482759,44.0
65,65,167,Temperature,33.4,5.28075440204,15.6546569824,13.5240267634,4,17,39.1034482759,44.0
66,66,78,Depth,15.6,1619.71798194,-105.25,-794.211538462,4,17,39.1034482759,44.0
67,67,58,Nitrate,11.6,6.21922712877,1.28975009918,4.1666265861,4,17,39.1034482759,44.0
68,68,179,Salinity,35.8,14.1900776165,32.5130996704,23.7510768102,4,18,47.2923076923,37.0
69,69,142,Depth,28.4,1050.75858594,-22.75,-336.478873239,4,18,47.2923076923,37.0
70,70,114,Temperature,22.8,6.09102578016,12.9450927734,11.3827290317,4,18,47.2923076923,37.0
71,71,65,Nitrate,13.0,5.01913271914,5.94885778427,5.85466571244,4,18,47.2923076923,37.0
72,75,31,Depth,6.2,1950.21274384,-26.0,-1384.29032258,4,19,37.3225806452,10.0
73,74,47,Nitrate,9.4,8.26507344035,16.9584350586,15.8616306588,4,19,37.3225806452,10.0
74,73,78,Temperature,15.6,6.64780740389,5.33268127441,6.59693259215,4,19,37.3225806452,10.0
75,72,344,Salinity,68.8,16.063040238,33.8618927002,23.1482929962,4,19,37.3225806452,10.0
76,76,218,Salinity,43.6,17.6604145689,-2.0,13.2255923901,4,20,28.6,29.0
77,77,123,Depth,24.6,2040.07638359,-74.5,-1151.44715447,4,20,28.6,29.0
78,78,104,Temperature,20.8,5.56375636865,10.152734375,9.67093811035,4,20,28.6,29.0
79,79,55,Nitrate,11.0,7.57754840621,10.5755691528,12.5229305143,4,20,28.6,29.0
80,80,260,Salinity,52.0,17.4027827066,-2.0,14.5218847201,4,21,48.1666666667,47.0
81,81,92,Temperature,18.4,7.52402193017,12.9450927734,9.78459519096,4,21,48.1666666667,47.0
82,82,88,Nitrate,17.6,7.09586144982,9.32019805908,8.38722519526,4,21,48.1666666667,47.0
83,83,60,Depth,12.0,2139.43473704,-67.0,-1425.65,4,21,48.1666666667,47.0
84,84,210,Salinity,42.0,17.7515802264,-2.0,13.4112748101,4,22,15.3827160494,8.0
85,85,110,Temperature,22.0,5.9609422936,12.5716186523,11.6213151412,4,22,15.3827160494,8.0
86,86,99,Nitrate,19.8,7.35918356639,8.38691616058,7.67884585818,4,22,15.3827160494,8.0
87,87,81,Depth,16.2,1039.36701405,-39.5,-545.061728395,4,22,15.3827160494,8.0
88,91,110,Depth,22.0,1281.59576512,-4775.5,-4578.31818182,4,23,47.5818181818,38.0
89,90,125,Temperature,25.0,2.8744651521,21.8498779297,23.3984758301,4,23,47.5818181818,38.0
90,88,135,Nitrate,27.0,1.26186179324,0.0645082145929,0.515689775958,4,23,47.5818181818,38.0
91,89,130,Salinity,26.0,17.5955532839,34.8963279724,23.3465055026,4,23,47.5818181818,38.0
92,92,176,Salinity,35.2,17.3407955589,35.246591568,24.3159501336,4,24,34.5333333333,18.0
93,93,129,Depth,25.8,1775.91792671,-4081.0,-3572.49612403,4,24,34.5333333333,18.0
94,94,105,Nitrate,21.0,1.53307164653,0.149485781789,0.728818248159,4,24,34.5333333333,18.0
95,95,90,Temperature,18.0,3.09618354715,24.7070251465,24.6713684082,4,24,34.5333333333,18.0
96,96,181,Salinity,36.2,14.6896486437,35.6942367554,28.9718807494,4,25,33.8641975309,16.0
97,97,135,Depth,27.0,1730.64466481,-4249.0,-3551.17037037,4,25,33.8641975309,16.0
98,98,103,Nitrate,20.6,1.28564304652,0.222373500466,0.879966844461,4,25,33.8641975309,16.0
99,99,81,Temperature,16.2,3.28566959386,25.382043457,24.6908794639,4,25,33.8641975309,16.0
100,103,102,Nitrate,20.4,1.01511625435,0.139872990549,0.536699587461,4,26,35.7941176471,16.5
101,100,162,Salinity,32.4,14.9839739641,35.9814491272,28.6113856987,4,26,35.7941176471,16.5
102,101,125,Depth,25.0,1767.24701388,-3735.5,-3054.2,4,26,35.7941176471,16.5
103,102,111,Temperature,22.2,3.35300130276,24.8196655273,24.6501054644,4,26,35.7941176471,16.5
104,107,76,Temperature,15.2,1.87717626758,24.7729431152,24.9168740523,4,27,26.9473684211,20.0
105,106,108,Nitrate,21.6,0.318165371332,0.137611046433,0.18209346779,4,27,26.9473684211,20.0
106,105,135,Depth,27.0,1821.5564362,-16.0,-988.751851852,4,27,26.9473684211,20.0
107,104,181,Salinity,36.2,18.0230349141,34.0282363892,20.0884428604,4,27,26.9473684211,20.0
108,108,147,Salinity,29.4,17.5181608173,33.3740921021,20.9895813222,4,28,40.6893203883,14.0
109,109,130,Nitrate,26.0,0.520676578768,0.172856427729,0.299645694087,4,28,40.6893203883,14.0
110,110,120,Temperature,24.0,2.36886389579,25.7432800293,25.3076382955,4,28,40.6893203883,14.0
111,111,103,Depth,20.6,1849.52132414,-14.5,-1202.38349515,4,28,40.6893203883,14.0
112,115,93,Temperature,18.6,1.98819883563,25.5796142578,25.4225497994,4,29,25.1827956989,13.0
113,112,174,Salinity,34.8,18.1665593227,22.8698043823,16.6299536146,4,29,25.1827956989,13.0
114,113,134,Depth,26.8,1437.48187455,-16.5,-627.070895522,4,29,25.1827956989,13.0
115,114,99,Nitrate,19.8,0.643414838784,0.158396780491,0.337083188347,4,29,25.1827956989,13.0
116,117,99,Temperature,19.8,1.73677097541,27.1177612305,26.4315987635,4,30,15.2873563218,9.0
117,118,90,Depth,18.0,1444.38956297,-14.5,-766.622222222,4,30,15.2873563218,9.0
118,116,224,Salinity,44.8,18.1030899702,-2.0,11.691955609,4,30,15.2873563218,9.0
119,119,87,Nitrate,17.4,0.434528546326,0.138773471117,0.236907595854,4,30,15.2873563218,9.0
